client_id,client_name,status,industry,assignee,due_date,start_date,date_created,date_updated,space,time_logged,Alternates,est_project_total,freight_gp,handled_by,labor_gp,potential_award_date,product_gp,project_total,RFI_due_date,RFP_due_date,revisions,sales_location,salesperson,Specsheets,Specifier,Vendor_partner_alts,Vendor_partner_base,sales_location_office
rfp00013,North Ridge Student Center,IN_REVIEW,Education,Amelia Reed,2025-05-19 05:20:00,2025-04-19 15:20:00,2025-04-17 16:20:00,2025-05-09 05:18:00,Education Pursuits,20,1,255950.85,30,RFP Team,35,2025-07-19 16:20:00,20,273828.69,2025-04-28 03:20:00,2025-05-19 05:20:00,2,HOLLYWOOD,Logan Foster,1,HOK,Martin Brattrud,Teknion; Davis Furniture; Global; Humanscale,Hollywood
rfp00014,Vantage Dining Collective,IN_REVIEW,Retail / Hospitality,Noah Walker,2025-12-12 17:36:00,2025-11-15 00:36:00,2025-11-13 17:36:00,2025-11-19 03:39:16,RFP Team,13,0,107280.23,30,Creative,35,2026-01-05 02:36:00,20,94295.26,2025-11-21 14:36:00,2025-12-12 17:36:00,0,ATLANTA,Emily Taylor,1,NELSON,,Global; National; HON,Atlanta
rfp00015,Vantage Dining Collective,WON,Retail / Hospitality,James Davis,2025-05-19 21:44:00,2025-05-01 08:44:00,2025-04-30 09:44:00,2025-06-12 09:01:19,RFP Team,23,0,914628.8,20,Marketing,30,2025-06-21 08:44:00,10,944972.17,2025-05-13 20:44:00,2025-05-19 21:44:00,1,ORLANDO,Mason Reed,0,HOK,,JSI; Teknion; Davis Furniture; KI,Orlando
rfp00016,Meridian Services Hub,IN_REVIEW,Corporate Office,James Davis,2025-06-18 12:40:00,2025-05-15 00:40:00,2025-05-13 11:40:00,2025-06-13 16:42:01,Strategic Accounts,14,0,171543.75,30,Creative,35,2025-08-14 23:40:00,20,177873.32,2025-05-26 10:40:00,2025-06-18 12:40:00,1,ATLANTA,Liam Parker,0,HOK,,Humanscale; Davis Furniture,Atlanta
rfp00017,Riverside Casino Expansion,IN_REVIEW,Retail / Hospitality,Mia Cooper,2025-08-27 12:01:00,2025-07-26 02:01:00,2025-07-25 14:01:00,2025-08-10 11:05:36,RFP Team,13,0,171834.54,30,Sales,35,2025-10-05 23:01:00,20,173104.51,2025-08-02 11:01:00,2025-08-27 12:01:00,1,NEW YORK,Ava Jenkins,1,TPG Architecture,,Stylex; Allsteel,New York
rfp00018,Lakeside Medical Pavilion,SUBMITTED,Healthcare,Lucas Martin,2024-12-30 03:14:00,2024-11-29 15:14:00,2024-11-27 16:14:00,2024-12-13 06:50:06,Healthcare Bids,31,0,701919.47,20,Design,30,2025-02-08 14:14:00,10,760940.35,2024-12-11 00:14:00,2024-12-30 03:14:00,2,NEW YORK,James Davis,1,The Switzer Group,,HON; Allsteel; Global,New York
rfp00019,Riverbend Clinic Network,LOST,Healthcare,Lucas Martin,2025-05-18 13:05:00,2025-04-13 01:05:00,2025-04-12 13:05:00,2025-06-05 20:48:00,Healthcare Bids,121,1,3985645.76,20,Design,30,2025-06-09 03:05:00,10,363996,2025-04-27 10:05:00,2025-05-18 13:05:00,8,NEW YORK,Emily Taylor,1,IA Interior Architects,Martin Brattrud; SitOnIt,National; Teknion; JSI; Bernhardt,New York
rfp00020,Summit Care Hospital,SUBMITTED,Healthcare,Lucas Martin,2025-06-06 22:02:00,2025-05-07 10:02:00,2025-05-07 09:02:00,2025-06-05 22:20:49,Healthcare Bids,23,0,685788.16,20,Creative,30,2025-08-18 07:02:00,10,660042.04,2025-05-19 20:02:00,2025-06-06 22:02:00,2,HOLLYWOOD,James Davis,1,Vocon,,Global; Davis Furniture,Hollywood
rfp00021,Skyline Boutique Hotel,SUBMITTED,Retail / Hospitality,David Thompson,2025-07-15 04:14:00,2025-06-16 17:14:00,2025-06-15 12:14:00,2025-07-14 21:40:52,RFP Team,32,0,695453.89,20,RFP Team,30,2025-09-16 18:14:00,10,710444.05,2025-06-29 03:14:00,2025-07-15 04:14:00,2,NEW YORK,Logan Foster,1,HOK,,HON; National; Bernhardt; Global,New York
rfp00022,Metro Health Campus,SUBMITTED,Healthcare,Lucas Martin,2025-02-27 00:24:00,2025-01-16 12:24:00,2025-01-16 11:24:00,2025-02-09 15:21:44,Healthcare Bids,59,0,1812959.81,16,Sales,24,2025-05-07 11:24:00,8,1799963.96,2025-01-30 21:24:00,2025-02-27 00:24:00,4,ATLANTA,Emily Moore,1,HOK,,Kimball; Stylex,Atlanta
rfp00023,Meridian Services Hub,NO_BID,Corporate Office,Sophia Carter,2025-04-28 07:26:00,2025-03-21 19:26:00,2025-03-20 12:26:00,2025-05-08 13:37:13,Strategic Accounts,22,0,1460289.75,20,RFP Team,30,2025-06-23 21:26:00,10,308239,2025-03-31 07:26:00,2025-04-28 07:26:00,4,TAMPA,Logan Foster,1,Perkins&Will,,KI; Kimball,Tampa
rfp00024,North Ridge Student Center,WON,Education,Mia Cooper,2024-11-14 11:58:00,2024-10-19 18:58:00,2024-10-19 16:58:00,2024-12-13 18:13:17,Education Pursuits,39,0,906052.24,20,RFP Team,30,2024-12-09 20:58:00,10,962161.04,2024-11-04 10:58:00,2024-11-14 11:58:00,2,HOLLYWOOD,William Carter,1,NELSON,,KI; Global; Haworth,Hollywood
rfp00025,Westfield High School District,LOST,Education,Mia Cooper,2025-08-13 16:50:00,2025-07-20 02:50:00,2025-07-19 14:50:00,2025-08-16 08:20:10,Education Pursuits,11,0,94841.64,30,Sales,35,2025-09-17 06:50:00,20,73359,2025-08-05 14:50:00,2025-08-13 16:50:00,0,ATLANTA,Daniel Moore,1,Unispace,,JSI; Global; Davis Furniture,Atlanta
rfp00026,Regional Emergency Management Office,NO_BID,Government,Olivia Bennett,2026-02-28 02:43:00,2026-01-25 12:43:00,2026-01-25 10:43:00,2026-03-17 17:54:31,Public Sector Bids,17,0,1284077.5,30,Sales,35,2026-05-11 11:43:00,20,104083,2026-02-06 02:43:00,2026-02-28 02:43:00,4,ATLANTA,Daniel Moore,1,TPG Architecture,,Bernhardt; Allsteel,Atlanta
rfp00027,North Ridge Student Center,NO_BID,Education,Ethan Brooks,2024-12-05 02:30:00,2024-11-07 13:30:00,2024-11-06 17:30:00,2024-12-27 16:49:33,Education Pursuits,10,0,829843.25,30,Design,35,2025-01-19 16:30:00,20,175011,2024-11-15 01:30:00,2024-12-05 02:30:00,2,HOLLYWOOD,Grace Turner,1,JLL,,Humanscale; Global; Bernhardt; National,Hollywood
rfp00028,Urban Market Flagship Store,SUBMITTED,Retail / Hospitality,James Davis,2025-11-16 04:24:00,2025-10-23 11:24:00,2025-10-22 14:24:00,2025-11-19 06:11:04,RFP Team,28,0,942449.34,20,Design,30,2025-12-28 18:24:00,10,914351.57,2025-10-30 03:24:00,2025-11-16 04:24:00,1,NEW YORK,Emily Moore,1,Gensler,,Stylex; Haworth; National; Kimball,New York
rfp00029,Crescent Rehabilitation Hospital,IN_REVIEW,Healthcare,Sophia Carter,2025-12-17 04:55:00,2025-12-02 16:55:00,2025-12-02 14:55:00,2025-12-20 19:20:47,Healthcare Bids,24,0,307773.97,20,Creative,30,2026-01-29 13:55:00,10,309646.1,2025-12-10 02:55:00,2025-12-17 04:55:00,2,NEW YORK,James Davis,1,The Switzer Group,,National; JSI; Bernhardt,New York
rfp00030,Regional Emergency Management Office,LOST,Government,Mia Cooper,2024-11-03 22:32:00,2024-09-25 06:32:00,2024-09-24 12:32:00,2025-01-08 13:41:01,Public Sector Bids,33,1,716122.78,30,Marketing,35,2025-01-17 12:32:00,20,285025,2024-10-07 22:32:00,2024-11-03 22:32:00,2,NEW YORK,Liam Parker,0,Vocon,SitOnIt; Darran; Arcadia,Davis Furniture; National; Stylex; Allsteel,New York
rfp00031,North Ridge Student Center,WON,Education,Mia Cooper,2024-12-15 12:09:00,2024-11-05 01:09:00,2024-11-03 10:09:00,2024-12-19 14:06:26,Education Pursuits,78,1,2263192.74,14,RFP Team,21,2025-01-24 02:09:00,7,2231753.18,2024-11-15 10:09:00,2024-12-15 12:09:00,5,HOLLYWOOD,Ava Jenkins,1,The Switzer Group,9to5 Seating; OFS; Andreu World,Stylex; KI; Teknion; JSI,Hollywood
rfp00032,Vantage Dining Collective,LOST,Retail / Hospitality,James Davis,2025-06-07 23:21:00,2025-05-25 06:21:00,2025-05-24 14:21:00,2025-07-07 08:26:24,RFP Team,41,1,783981.54,30,RFP Team,35,2025-07-07 08:21:00,20,120011,2025-06-01 22:21:00,2025-06-07 23:21:00,3,ATLANTA,Daniel Moore,1,DLR Group,Martin Brattrud,National; KI,Atlanta
rfp00033,North County Administrative Complex,IN_REVIEW,Government,Olivia Bennett,2025-11-09 12:48:00,2025-10-20 00:48:00,2025-10-18 12:48:00,2025-11-05 09:14:35,Public Sector Bids,16,0,533303.06,20,Design,30,2026-01-18 21:48:00,10,573320.18,2025-10-25 09:48:00,2025-11-09 12:48:00,1,ATLANTA,Grace Turner,1,CallisonRTKL,,KI; Davis Furniture; National; Bernhardt,Atlanta
rfp00034,Lattice Energy Headquarters,DRAFT,Corporate Office,David Thompson,2024-09-08 08:59:00,2024-08-16 23:59:00,2024-08-16 10:59:00,2024-08-24 15:35:49,Strategic Accounts,24,1,370788.98,20,RFP Team,30,2024-10-11 17:59:00,10,367116.74,2024-08-28 08:59:00,2024-09-08 08:59:00,3,HOLLYWOOD,James Davis,1,The Switzer Group,9to5 Seating; SitOnIt; Beaufurn,Bernhardt; JSI; Haworth; KI,Hollywood
rfp00035,Pinnacle Advisory Tower,IN_REVIEW,Corporate Office,Ethan Brooks,2026-03-23 06:06:00,2026-03-09 19:06:00,2026-03-09 17:06:00,2026-03-28 16:24:34,Strategic Accounts,49,0,1413995.38,16,RFP Team,24,2026-05-01 20:06:00,8,1479065.79,2026-03-15 05:06:00,2026-03-23 06:06:00,3,ATLANTA,Mason Reed,1,HKS,,Stylex; Allsteel,Atlanta
rfp00036,Northbridge Financial Center,SUBMITTED,Corporate Office,Noah Walker,2025-06-27 23:45:00,2025-05-23 10:45:00,2025-05-22 17:45:00,2025-05-25 07:04:44,Strategic Accounts,49,1,1289624.71,16,Sales,24,2025-09-02 10:45:00,8,1235622.43,2025-06-08 22:45:00,2025-06-27 23:45:00,3,HOLLYWOOD,Emily Taylor,1,Unispace,Fabricate,Global; Haworth; KI; Davis Furniture,Hollywood
rfp00037,Regional Emergency Management Office,WON,Government,Olivia Bennett,2024-11-18 11:35:00,2024-11-01 23:35:00,2024-11-01 16:35:00,2024-12-18 17:33:31,Public Sector Bids,27,0,516264.87,20,Design,30,2024-12-25 22:35:00,10,532022.37,2024-11-07 11:35:00,2024-11-18 11:35:00,1,ORLANDO,Ava Jenkins,0,CallisonRTKL,,Teknion; Davis Furniture; National,Orlando
rfp00038,Emerson University Innovation Hall,DRAFT,Education,Ethan Brooks,2025-05-06 03:02:00,2025-04-10 17:02:00,2025-04-09 12:02:00,2025-04-16 01:18:26,Education Pursuits,24,0,646594.69,20,Design,30,2025-06-28 17:02:00,10,627274.58,2025-04-25 03:02:00,2025-05-06 03:02:00,3,ATLANTA,Logan Foster,1,HOK,,Davis Furniture; Teknion,Atlanta
rfp00039,Vantage Dining Collective,DRAFT,Retail / Hospitality,Mia Cooper,2024-09-16 18:44:00,2024-08-27 05:44:00,2024-08-26 10:44:00,2024-09-07 16:27:37,RFP Team,14,0,131909.25,30,Sales,35,2024-10-11 08:44:00,20,129005.76,2024-09-04 15:44:00,2024-09-16 18:44:00,0,TAMPA,James Davis,1,IA Interior Architects,,Allsteel; Kimball; Stylex; National,Tampa
rfp00040,Westfield High School District,LOST,Education,Sophia Carter,2024-08-27 19:19:00,2024-08-04 05:19:00,2024-08-03 13:19:00,2024-08-29 07:03:02,Education Pursuits,66,0,2020140.77,30,Creative,35,2024-09-11 04:19:00,20,157889,2024-08-16 19:19:00,2024-08-27 19:19:00,5,TAMPA,Liam Parker,1,Vocon,,Bernhardt; Global; Stylex,Tampa
rfp00041,Aurora Convention Center,NO_BID,Retail / Hospitality,Sophia Carter,2025-10-12 07:58:00,2025-09-05 18:58:00,2025-09-05 13:58:00,2025-10-24 01:03:57,RFP Team,28,1,2559277.08,30,Sales,35,2025-11-27 21:58:00,20,242987,2025-09-18 06:58:00,2025-10-12 07:58:00,6,NEW YORK,Mason Reed,1,Vocon,OFS; Arcadia,Teknion; Kimball; Davis Furniture; HON,New York
rfp00042,State Revenue Annex,WON,Government,Noah Walker,2025-03-20 02:55:00,2025-02-16 16:55:00,2025-02-15 15:55:00,2025-04-06 02:42:45,Public Sector Bids,25,1,209681.32,30,Sales,35,2025-04-05 11:55:00,20,213732.48,2025-02-26 02:55:00,2025-03-20 02:55:00,3,TAMPA,Daniel Moore,1,Gensler,m.a.d.; Keilhauer; Arcadia,Teknion; Stylex,Tampa
rfp00043,Transit Authority Operations Hub,LOST,Government,Noah Walker,2024-10-22 18:54:00,2024-10-07 23:54:00,2024-10-07 11:54:00,2024-11-19 09:59:07,Public Sector Bids,33,1,754649.83,30,Sales,35,2025-01-05 05:54:00,20,99193,2024-10-12 15:54:00,2024-10-22 18:54:00,3,HOLLYWOOD,William Carter,1,HOK,SitOnIt,KI; Global,Hollywood
rfp00044,HarborPoint Insurance Plaza,WON,Corporate Office,Amelia Reed,2025-11-16 22:10:00,2025-10-22 12:10:00,2025-10-20 16:10:00,2025-11-28 12:12:40,Strategic Accounts,79,1,2271695.93,14,RFP Team,21,2025-12-31 09:10:00,7,2529596.17,2025-10-30 21:10:00,2025-11-16 22:10:00,5,ATLANTA,William Carter,1,HKS,m.a.d.; Keilhauer,Kimball; Haworth,Atlanta
rfp00045,Summit Care Hospital,LOST,Healthcare,William Wilson,2025-12-13 13:46:00,2025-11-11 21:46:00,2025-11-10 14:46:00,2026-01-20 15:24:17,Healthcare Bids,57,0,1800616.94,30,RFP Team,35,2026-01-25 22:46:00,20,222530,2025-11-20 13:46:00,2025-12-13 13:46:00,4,NEW YORK,Emily Taylor,1,Gensler,,Stylex; KI; Bernhardt; HON,New York
rfp00046,Silverline Corporate Campus,WON,Corporate Office,James Davis,2025-05-04 21:10:00,2025-04-08 09:10:00,2025-04-06 14:10:00,2025-05-15 14:38:44,Strategic Accounts,41,1,889755.6,20,RFP Team,30,2025-05-20 06:10:00,10,978508.06,2025-04-23 19:10:00,2025-05-04 21:10:00,2,NEW YORK,Grace Turner,1,DLR Group,Arcadia; Darran,KI; Davis Furniture; Humanscale; Haworth,New York
rfp00047,Aurora Convention Center,IN_REVIEW,Retail / Hospitality,Amelia Reed,2026-03-25 03:34:00,2026-02-21 11:34:00,2026-02-21 08:34:00,2026-03-21 15:51:41,RFP Team,79,1,2774598.55,14,RFP Team,21,2026-04-24 14:34:00,7,2602032.36,2026-03-03 03:34:00,2026-03-25 03:34:00,4,TAMPA,Daniel Moore,1,CallisonRTKL,Andreu World,National; Davis Furniture; Stylex; Kimball,Tampa
rfp00048,Beacon Charter Academy,IN_REVIEW,Education,Olivia Bennett,2025-04-03 20:04:00,2025-02-27 01:04:00,2025-02-26 14:04:00,2025-03-28 08:57:42,Education Pursuits,21,1,82811.78,30,RFP Team,35,2025-05-25 07:04:00,20,72733.73,2025-03-13 17:04:00,2025-04-03 20:04:00,1,HOLLYWOOD,James Davis,1,HKS,Martin Brattrud,Haworth; Global; Humanscale; KI,Hollywood
rfp00049,Valley Pediatric Institute,LOST,Healthcare,James Davis,2025-12-06 17:45:00,2025-10-25 06:45:00,2025-10-24 09:45:00,2025-12-19 21:34:17,Healthcare Bids,19,0,379655.79,30,Design,35,2026-01-03 02:45:00,20,123849,2025-11-09 15:45:00,2025-12-06 17:45:00,1,ATLANTA,Emily Taylor,1,NELSON,,Allsteel; Bernhardt,Atlanta
rfp00050,Civic Services Headquarters,NO_BID,Government,Noah Walker,2025-03-17 17:15:00,2025-02-15 01:15:00,2025-02-14 13:15:00,2025-05-06 12:04:03,Public Sector Bids,28,1,1723986.85,30,Design,35,2025-05-17 02:15:00,20,172338,2025-02-21 17:15:00,2025-03-17 17:15:00,4,ORLANDO,James Davis,0,HKS,Via Seating; Fabricate; 9to5 Seating,National; KI; Teknion,Orlando
rfp00051,Silverline Corporate Campus,LOST,Corporate Office,Sophia Carter,2026-01-27 06:10:00,2026-01-02 13:10:00,2026-01-01 15:10:00,2026-02-22 18:06:05,Strategic Accounts,12,0,206512.14,30,Sales,35,2026-03-12 17:10:00,20,174705,2026-01-11 03:10:00,2026-01-27 06:10:00,0,NEW YORK,William Carter,1,HKS,,Kimball; National; Teknion,New York
rfp00052,Lakeview Community College,LOST,Education,Mia Cooper,2025-08-24 01:34:00,2025-07-17 15:34:00,2025-07-16 16:34:00,2025-10-20 19:24:07,Education Pursuits,45,0,1173759.04,30,Sales,35,2025-11-03 12:34:00,20,97868,2025-07-25 01:34:00,2025-08-24 01:34:00,3,HOLLYWOOD,Liam Parker,1,Savills,,KI; Teknion; Humanscale,Hollywood
rfp00053,Silverline Corporate Campus,LOST,Corporate Office,Noah Walker,2024-10-24 08:29:00,2024-10-10 20:29:00,2024-10-09 08:29:00,2024-11-16 15:22:02,Strategic Accounts,16,0,174189.55,30,RFP Team,35,2024-12-11 22:29:00,20,163125,2024-10-17 08:29:00,2024-10-24 08:29:00,2,NEW YORK,Mason Reed,1,Gensler,,Bernhardt; KI; Stylex,New York
rfp00054,North Ridge Student Center,LOST,Education,Olivia Bennett,2025-04-23 13:18:00,2025-03-23 04:18:00,2025-03-21 17:18:00,2025-07-02 06:09:19,Education Pursuits,21,0,435824.91,30,Marketing,35,2025-06-29 00:18:00,20,156911,2025-03-28 13:18:00,2025-04-23 13:18:00,1,HOLLYWOOD,William Carter,1,IA Interior Architects,,Bernhardt; Davis Furniture,Hollywood
rfp00055,Vantage Dining Collective,IN_REVIEW,Retail / Hospitality,James Davis,2026-03-22 18:43:00,2026-02-17 01:43:00,2026-02-16 17:43:00,2026-02-22 04:53:08,RFP Team,71,0,2160350.86,14,RFP Team,21,2026-04-29 03:43:00,7,2249052.8,2026-03-04 15:43:00,2026-03-22 18:43:00,5,ATLANTA,Emily Taylor,1,TPG Architecture,,Global; KI; Teknion; Haworth,Atlanta
rfp00056,Justice & Records Building,LOST,Government,Lucas Martin,2025-05-22 16:27:00,2025-04-17 06:27:00,2025-04-15 13:27:00,2025-06-10 21:49:35,Public Sector Bids,117,1,3917326.18,30,Design,35,2025-07-07 03:27:00,20,102193,2025-04-25 16:27:00,2025-05-22 16:27:00,7,HOLLYWOOD,Liam Parker,1,DLR Group,m.a.d.; Beaufurn,Bernhardt; JSI; Kimball,Hollywood
rfp00057,Vantage Dining Collective,NO_BID,Retail / Hospitality,Lucas Martin,2025-11-12 21:53:00,2025-10-24 03:53:00,2025-10-23 16:53:00,2025-12-08 17:50:30,RFP Team,42,0,3081454.77,30,Creative,35,2026-01-13 08:53:00,20,169824,2025-11-03 19:53:00,2025-11-12 21:53:00,6,NEW YORK,Ava Jenkins,1,Corgan,,Global; Haworth; Allsteel,New York
rfp00058,Summit Care Hospital,LOST,Healthcare,David Thompson,2025-07-21 23:08:00,2025-06-16 10:08:00,2025-06-15 10:08:00,2025-08-12 00:46:52,Healthcare Bids,26,1,504521.84,20,Sales,30,2025-08-24 08:08:00,10,378652,2025-06-28 20:08:00,2025-07-21 23:08:00,2,HOLLYWOOD,Emily Taylor,0,Unispace,9to5 Seating,Teknion; Bernhardt; Davis Furniture; Stylex,Hollywood
rfp00059,Pinnacle Advisory Tower,DRAFT,Corporate Office,James Davis,2024-09-06 18:38:00,2024-08-03 08:38:00,2024-08-01 08:38:00,2024-08-26 06:40:23,Strategic Accounts,15,1,387147.81,20,Marketing,30,2024-10-06 03:38:00,10,375875.67,2024-08-16 17:38:00,2024-09-06 18:38:00,2,TAMPA,Daniel Moore,1,JLL,Darran,Allsteel; Davis Furniture,Tampa
rfp00060,Westfield High School District,SUBMITTED,Education,Ethan Brooks,2025-09-04 00:02:00,2025-08-08 09:02:00,2025-08-06 12:02:00,2025-08-20 04:08:37,Education Pursuits,19,0,166888.13,30,Sales,35,2025-11-04 11:02:00,20,176412.74,2025-08-18 21:02:00,2025-09-04 00:02:00,2,NEW YORK,Daniel Moore,0,HKS,,Global; Teknion; Humanscale; JSI,New York
rfp00061,Apex Consulting HQ,WON,Corporate Office,Noah Walker,2024-09-29 07:37:00,2024-08-25 21:37:00,2024-08-24 08:37:00,2024-10-02 11:55:03,Strategic Accounts,23,0,298269.94,20,RFP Team,30,2024-10-18 21:37:00,10,330242.99,2024-09-07 06:37:00,2024-09-29 07:37:00,1,TAMPA,Liam Parker,1,Savills,,Haworth; Davis Furniture; Teknion; Humanscale,Tampa
rfp00062,HarborPoint Insurance Plaza,SUBMITTED,Corporate Office,William Wilson,2025-08-13 16:12:00,2025-07-19 03:12:00,2025-07-18 10:12:00,2025-08-18 05:44:52,Strategic Accounts,70,1,2116949.69,14,Design,21,2025-09-22 06:12:00,7,2137170.14,2025-08-02 15:12:00,2025-08-13 16:12:00,4,TAMPA,William Carter,1,Corgan,Via Seating,Humanscale; Teknion,Tampa
rfp00063,Crescent Rehabilitation Hospital,WON,Healthcare,David Thompson,2024-08-29 02:39:00,2024-07-30 12:39:00,2024-07-29 17:39:00,2024-09-19 12:44:19,Healthcare Bids,27,1,259566.5,30,RFP Team,35,2024-09-15 11:39:00,20,243893.51,2024-08-16 00:39:00,2024-08-29 02:39:00,1,ATLANTA,Emily Moore,0,NELSON,Andreu World; Via Seating,Bernhardt; Teknion; Global; Allsteel,Atlanta
rfp00064,Apex Consulting HQ,SUBMITTED,Corporate Office,David Thompson,2025-06-04 19:37:00,2025-05-07 10:37:00,2025-05-06 15:37:00,2025-06-08 12:37:48,Strategic Accounts,16,0,150082.84,30,Sales,35,2025-07-07 04:37:00,20,157890.91,2025-05-20 19:37:00,2025-06-04 19:37:00,1,ATLANTA,William Carter,1,Savills,,Bernhardt; Allsteel; JSI,Atlanta
rfp00065,Justice & Records Building,DRAFT,Government,William Wilson,2025-12-27 03:46:00,2025-11-16 10:46:00,2025-11-16 08:46:00,2025-12-18 05:50:23,Public Sector Bids,36,0,1616533.49,16,RFP Team,24,2026-01-15 17:46:00,8,1660373.63,2025-12-01 00:46:00,2025-12-27 03:46:00,5,TAMPA,Ava Jenkins,1,HOK,,HON; JSI; Allsteel; Bernhardt,Tampa
